Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ev - Okul,,,,,,8 GB,DDR4,Gri,256 GB,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//hp/250-g8-core-i5-1135g7-islemci-8gb-ram-256gb-ssd-15-6-fhd-freedos-laptop-komur-grisi-853u8es-p-773440890?boutiqueId=61&merchantId=275331,10.499 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Ev - Okul,4.3,,,TN,,16 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//lenovo/ideapad-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-82r4006ftra38-p-752653765?boutiqueId=61&merchantId=155616,13.999 TL
,Bluetooth - HDMI,,,2 kg ve Altı,Yok,14 inç,Intel Iris Graphics,DDR,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Huawei Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,,,,,,8 GB,LPDDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//huawei/matebook-d14-intel-core-i5-1155g7-8gb-512gb-ssd-14-w11-dizustu-bilgisayar-huawei-turkiye-garanti-p-664355420?boutiqueId=623361&merchantId=968,14.999 TL
,HDMI,,,,,,AMD Radeon RX 550,GDDR5,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Q Türkçe,Oyun,,,Yok,VA,500 W ve üstü,32 GB,,,256 GB,,,2.9,1920 x 1080,Full HD (FHD),2.50 GHz - 3.00 GHz,X5660,Belirtilmemiş,Intel Xeon,6,Free Dos,,https://www.trendyol.com//ramtech/fullforce-ff60-intel-x5670-32gb-ram-256gb-ssd-rx550-4gb-23-6-oyuncu-pc-p-344066238?boutiqueId=61&merchantId=187272&advertItems=eyJhZHZlcnRJZCI6ImU4YmE1NjVhLWQ5ZTItNDJlOC1iOWU2LTY4NTNiMWFjZjViMyIsInNvcnRpbmdTY29yZSI6MC4xOTc2ODg0MzIzODgwMDc2OCwiYWRTY29yZSI6MC4wNzc3OTk0NjE3ODE5Nzg2MSwiYWRTY29yZXMiOnsiMSI6MC4wNzc3OTk0NjE3ODE5Nzg2MSwiMiI6MC4wNzc3OTk0NjE3ODE5Nzg2MX0sImNwYyI6Mi41NDEwMDAwMDAwMDAwMDA0LCJtaW5DcGMiOjAsImVDcGMiOjIuMDc3MTkxMjc3NTc4NjM1LCJhZHZlcnRTbG90IjoxLCJvcmRlciI6Mywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,11.999 TL
,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics 600,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,2.8,,Yok,TN,,4 GB,LPDDR4,Gri,120 GB,,,1.1,1366 x 768,HD Ready (HD),,N4020,Belirtilmemiş,Intel Celeron,2,Windows,,https://www.trendyol.com//casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-p-358003688?boutiqueId=61&merchantId=129813,6.869 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ev - Okul,,,,,,4 GB,DDR4,Gri,SSD Yok,,,,1366 x 768,HD Ready (HD),,N4120,4. Nesil,Intel Celeron,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad1-intel-celeron-n4120-4gb-128gb-emmc-dos-15-6-cloud-grey-laptop-lenovo-turkiye-garantili-p-652489295?boutiqueId=623361&merchantId=968,6.697 TL
,Bluetooth,,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,,32 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),,11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v13-3-4-intel-core-i7-11800h-32gb-1-tb-ssd-rtx3050ti-freedos-17-3-fhd-p-738620917?boutiqueId=61&merchantId=105286,29.999 TL
64 GB,VGA - HDMI - DP - COM,,,2 - 4 kg,,22 - 24 inç,AMD Radeon RX 5500 XT,GDDR6,8 GB,Harici,,,2 Yıl,MSI Türkiye Garantili,,Var,HDD Yok,512 GB,Q Türkçe,Oyun,,,Yok,VA,500 W ve üstü,8 GB,DDR4,,512 GB,Gen 3,LGA 1200,3.6,1920 x 1080,Full HD (FHD),3.00 GHz üstü,10100F,10. Nesil,Intel Core i3,8,Windows,,https://www.trendyol.com//huracan-pc/rx55-intel-core-i3-10100f-100hz-monitor-23-8-amd-radeon-rx5500xt-8gb-ek-8gb-ddr4-512gb-ssd-gaming-pc-p-786020528?boutiqueId=61&merchantId=603094&advertItems=eyJhZHZlcnRJZCI6IjNjZTI4NmY1LWJhYjQtNDgwMi05NmQ2LTIwZDk0ODE5OWMzNiIsInNvcnRpbmdTY29yZSI6MC4xNjAwNDgzNzM3ODg1OTUyLCJhZFNjb3JlIjowLjA2NzA1MDAwOTk2NTg5NjYsImFkU2NvcmVzIjp7IjEiOjAuMDY3MDUwMDA5OTY1ODk2NiwiMiI6MC4wNjcwNTAwMDk5NjU4OTY2fSwiY3BjIjoyLjM4NywibWluQ3BjIjowLCJlQ3BjIjoyLjEyNDMwNjczMDQzNjI3NiwiYWR2ZXJ0U2xvdCI6Miwib3JkZXIiOjcsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,14.988 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,SD,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,3.5,,,TN,,8 GB,LPDDR5,Gri,256 GB,,,2.4,1920 x 1080,Full HD (FHD),,Belirtilmemiş,7. Nesil,AMD Athlon,2,Free Dos,,https://www.trendyol.com//lenovo/v15-82yu00metx-7120u-8gb-256ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-744832721?boutiqueId=626264&merchantId=514546,8.199 TL
,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,,,,16 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),,7520U,7. Nesil,AMD Ryzen 5,4,Free Dos,,https://www.trendyol.com//lenovo/nb-v15-ryzen-5-7520u-16gb-512ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82yu00qytx-p-742133243?boutiqueId=61&merchantId=514546,11.999 TL
