Fiyat,Ekran Kartı,İşlemci,İşlemci Nesli,İşlemci Modeli,Ram,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Max İşlemci Hızı,Ram Tipi,SSD Kapasitesi,SSD Teknolojisi,Temel İşlemci Hızı,Çözünürlük,İşlemci Frekansı,İşlemci Çekirdek Sayısı,İşletim Sistemi
10499.0,Dahili Ekran Kartı,Intel Core i5,11. Nesil,1135G7,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,4,Free Dos
13999.0,AMD Radeon Graphics,AMD Ryzen 7,5. Nesil,5700U,16.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.3,DDR4,512.0,,,1920 x 1080,,8,Free Dos
14999.0,Intel Iris Graphics,Intel Core i5,11. Nesil,1155G7,8.0,14 inç,DDR,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,LPDDR4,512.0,,,1920 x 1080,,4,Windows
11999.0,AMD Radeon RX 550,Intel Xeon,Belirtilmemiş,X5660,32.0,,GDDR5,4 GB,Harici,,,2 Yıl,,,256.0,,2.9,1920 x 1080,2.50 GHz - 3.00 GHz,6,Free Dos
6869.0,Intel UHD Graphics 600,Intel Celeron,Belirtilmemiş,N4020,4.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,2 Yıl,2.8,LPDDR4,120.0,,1.1,1366 x 768,,2,Windows
14988.0,AMD Radeon RX 5500 XT,Intel Core i3,10. Nesil,10100F,8.0,22 - 24 inç,GDDR6,8 GB,Harici,,,2 Yıl,,DDR4,512.0,Gen 3,3.6,1920 x 1080,3.00 GHz üstü,8,Windows
8199.0,AMD Radeon Graphics,AMD Athlon,7. Nesil,Belirtilmemiş,8.0,"15,6 inç",SD,Paylaşımlı,Dahili,60 Hz,,2 Yıl,3.5,LPDDR5,256.0,,2.4,1920 x 1080,,2,Free Dos
11999.0,Dahili Ekran Kartı,AMD Ryzen 5,7. Nesil,7520U,16.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,4,Free Dos
298790.0,Nvidia GeForce RTX 4050,Intel Core i5,12. Nesil,12500H,16.0,"15,6 inç",GDDR6,6 GB,Harici,144 Hz,,2 Yıl,,DDR5,512.0,,,1920 x 1080,,12,Free Dos
10949.0,Nvidia GT730,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,75 Hz,,2 Yıl,,,240.0,Gen 4,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
27079.0,Dahili Ekran Kartı,Apple M1,3. Nesil,Belirtilmemiş,8.0,"13,3 inç",DDR2,Paylaşımlı,Dahili,120 Hz,,2 Yıl,,DDR2,256.0,,Belirtilmemiş,2560 x 1600,,8,Mac Os
29999.0,Nvidia GeForce GTX 1650,Intel Core i7,11. Nesil,11800H,16.0,"15,6 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,4.6,DDR4,500.0,Gen 4,2.3,1920 x 1080,,8,Free Dos
12299.0,Dahili Ekran Kartı,AMD Ryzen 5,7. Nesil,7520U,16.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.3,LPDDR5,512.0,,,1920 x 1080,,4,Free Dos
14799.0,Intel Iris Graphics,Intel Core i5,11. Nesil,1155G7,8.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,4.5,LPDDR4X,256.0,,2.5,1920 x 1080,,4,Windows
19999.0,AMD Radeon Graphics,AMD Ryzen 7,5. Nesil,5700U,16.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,8,Windows
13399.0,AMD Radeon RX 550,Intel Core i5,3. Nesil,İ5-3470,16.0,22 - 24 inç,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,,,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
21899.0,Nvidia GeForce RTX 2050,Intel Core i5,12. Nesil,12450H,8.0,"15,6 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,4,Free Dos
29999.0,Nvidia GeForce RTX 3050,Intel Core i7,12. Nesil,12700H,16.0,"15,6 inç",GDDR6,4 GB,Dahili,144 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,6,Free Dos
11249.0,AMD Radeon RX 550,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,240.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Windows
15949.0,Nvidia GeForce GTX 1660 SUPER,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR6,6 GB,Harici,144 Hz,,2 Yıl,,DDR3,512.0,,,1920 x 1080,3.00 GHz üstü,4,Free Dos
11499.0,AMD Radeon Graphics,AMD Ryzen 5,7. Nesil,7520U,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,LPDDR5,512.0,,,1920 x 1080,,4,Windows
13229.0,Intel UHD Graphics,Intel Core i5,12. Nesil,12450H,8.0,14 inç,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,LPDDR5,512.0,,,1920 x 1080,,8,Free Dos
11999.0,AMD Radeon RX 550,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,120.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
9399.0,AMD Radeon Graphics,AMD Ryzen 3,7. Nesil,7320U,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,LPDDR5,256.0,,,1920 x 1080,,4,Free Dos
10949.0,Nvidia GT730,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,75 Hz,,2 Yıl,,,240.0,Gen 4,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
6499.0,AMD Radeon R7 240,Intel Core i5,3. Nesil,3470,16.0,,DDR3,4 GB,Harici,,,2 Yıl,,,256.0,,3.2,,3.00 GHz üstü,4,Free Dos
95399.0,Dahili Ekran Kartı,AMD Ryzen 3,7. Nesil,7320U,8.0,"15,6 inç",DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,4,Free Dos
39499.0,M2 10 Çekirdekli,M2,2. Nesil,Belirtilmemiş,8.0,13 inç,DDR4,Paylaşımlı,Dahili,120 Hz,,2 Yıl,,DDR4,256.0,,,2560 x 1600,,8,Mac Os
8999.0,Nvidia GeForce GTX1050 Ti,Intel Core i5,3. Nesil,İ5-3470,16.0,,GDDR5,4 GB,Harici,,,2 Yıl,,,128.0,,3.2,,3.00 GHz üstü,4,Free Dos
8766.0,AMD Radeon R7 240,Intel Core i7,Belirtilmemiş,860,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,,,2 Yıl,,,256.0,,2.8,1920 x 1080,,4,Windows
197991.0,Nvidia GeForce RTX 3060 Ti,AMD Ryzen 5,Belirtilmemiş,Ryzen 5 5600,16.0,,GDDR6X,8 GB,Harici,,,2 Yıl,,DDR4,500.0,Gen 4,3.9,1920 x 1080,3.00 GHz üstü,12,Free Dos
15699.0,AMD Radeon RX 550,AMD Ryzen 5,3. Nesil,3600,32.0,"24"" / 61 Ekran",DDR4,6 GB,Dahili,75 Hz,,2 Yıl,,DDR4,512.0,,3.6,1920 x 1080,3.00 GHz üstü,6,Free Dos
13799.0,Nvidia GeForce GTX1050 Ti,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,144 Hz,,2 Yıl,,DDR3,512.0,,,1920 x 1080,3.00 GHz üstü,4,Free Dos
96967.0,Intel UHD Graphics,Intel Core i3,Belirtilmemiş,1115G4,4.0,"15,6 inç",DDR4,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,2,Windows
5999.0,Intel UHD Graphics 600,Intel Celeron,4. Nesil,N4020,4.0,"14,1 inç",Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,2.8,Belirtilmemiş,128.0,,1.1,1366 x 768,,2,Windows
21395.0,Intel Iris Graphics,Intel Core i7,11. Nesil,1195G7,16.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,4.7,DDR4,512.0,,Belirtilmemiş,1920 x 1080,,4,Windows
6869.0,Dahili Ekran Kartı,Intel Celeron,10. Nesil,N4020,4.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,128.0,,,1920 x 1080,,2,Windows
10949.0,Nvıdıa GeForce GT 730,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,75 Hz,,2 Yıl,,,240.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
34599.0,M2 8 Çekirdekli,Apple M2,1. Nesil,Belirtilmemiş,8.0,"13,6 inç",Dahili,8 GB,Dahili,120 Hz,,2 Yıl,,DDR5,256.0,,3.3,2560 x 1600,,1,Mac Os
8499.0,Intel UHD Graphics,Intel Celeron,4. Nesil,N4020,12.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,2.8,DDR4,128.0,,1.1,1920 x 1080,,2,Windows
4399.0,Dahili Ekran Kartı,AMD,1. Nesil,5200,1.0,14 inç,DDR,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,128.0,,,1280 x 800,,1,Free Dos
8549.0,Nvıdıa GeForce GT 730,Intel Core i5,3. Nesil,İ5-3470,16.0,"19"" / 48 Ekran",DDR3,4 GB,Harici,,,2 Yıl,,,256.0,,3.2,,3.00 GHz üstü,4,Free Dos
22077.0,Intel HD Graphics 610,Intel Core M,5. Nesil,3600,8.0,"13,3 inç",DDR,Paylaşımlı,Dahili,90 Hz,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,8,Windows
15999.0,AMD,AMD Ryzen 5,Belirtilmemiş,5625U,16.0,14 inç,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,4.3,DDR4,512.0,,,1920 x 1080,,6,Free Dos
15949.0,Nvidia GeForce GTX 1660 SUPER,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR6,6 GB,Harici,144 Hz,,2 Yıl,,DDR3,128.0,,,1920 x 1080,3.00 GHz üstü,4,Free Dos
26999.0,Nvidia GeForce RTX 3050 Ti,Intel Core i5,11. Nesil,i5-11320H,16.0,"17,3 inç",GDDR6,4 GB,Harici,165 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,6,Free Dos
13270.0,Intel XE Graphics,Intel Core i5,10. Nesil,1235U,8.0,"15,6 inç",DDR4,8 GB,Dahili,90 Hz,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,10,Windows
13749.0,Nvidia GeForce GTX1050 Ti,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,144 Hz,,2 Yıl,,,512.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
15599.0,Intel UHD Graphics,Intel Core i5,12. Nesil,1235U,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.4,DDR4,512.0,,,1920 x 1080,,10,Windows
17149.0,AMD Radeon RX 580,AMD Ryzen 5,5. Nesil,Ryzen 5 5500,32.0,"24"" / 61 Ekran",GDDR5,8 GB,Harici,75 Hz,,2 Yıl,,DDR4,512.0,Gen 3,3.6,1920 x 1080,3.00 GHz üstü,6,Free Dos
